@RELATION awards

@ATTRIBUTE year DATE "yyyy"
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE budget NUMERIC
@ATTRIBUTE revenue NUMERIC
@ATTRIBUTE averagerating NUMERIC
@ATTRIBUTE numvotes NUMERIC
@ATTRIBUTE class NUMERIC
@ATTRIBUTE nominations NUMERIC

@DATA
1977, 108, 15500000, 317040, 7.5, 528, 27, 2
1968, 112, 100000000, 180012000, 8, 144816, 4, 1
1998, 106, 45000000, 11146400, 6, 27871, 0, 1
1987, 89, 23000000, 20763000, 2.9, 33027, 1, 7
1996, 108, 47000000, 5600000, 5.8, 12397, 0, 6
1984, 160, 18000000, 51600000, 8.3, 295519, 33, 14
1997, 109, 6000000, 14821500, 7.3, 7248, 11, 17
1993, 120, 13000000, 12281500, 8, 173044, 1, 10
1990, 103, 18000000, 285761000, 7.5, 346506, 10, 4
1992, 120, 11000000, 52929200, 7.5, 87908, 4, 5
1984, 109, 7500000, 5100000, 6, 6883, 0, 1
1979, 153, 31500000, 78800000, 8.5, 486546, 18, 31
1997, 155, 30000000, 25078900, 6.6, 33160, 1, 3
1963, 107, 54000000, 128769000, 6.7, 12714, 0, 1
1997, 98, 3000000, 24629900, 5.1, 13775, 3, 3
1980, 96, 20000000, 62933800, 7.3, 84, 0, 1
1974, 88, 81200000, 1339150, 6.5, 2767, 1, 3
1975, 106, 30000000, 66600000, 7.3, 230, 3, 7
1996, 108, 19000000, 25753800, 7.3, 234766, 4, 9
1989, 87, 7400000, 3029870, 6, 61, 0, 1
1987, 108, 6500000, 54215400, 6.8, 22610, 2, 2
1978, 127, 26000000, 58885600, 8, 95326, 2, 2
1969, 142, 7000000, 22800000, 6.8, 64250, 1, 3
1994, 112, 8000000, 18090200, 6.4, 40964, 1, 5
1994, 142, 25000000, 28341500, 9.3, 1840608, 19, 29
1959, 132, 45000000, 101702000, 7.1, 12507, 0, 1
1992, 103, 5000000, 1100000, 6.9, 3965, 1, 6
1980, 325, 44000000, 1500000, 6.8, 10832, 2, 8
1971, 181, 9000000, 50000000, 8, 31711, 6, 13
1980, 109, 10000000, 69800000, 6.1, 19470, 1, 3
1988, 105, 25000000, 71309800, 7.4, 2194, 1, 3
1988, 69, 12500000, 48092800, 7.3, 65990, 0, 2
1987, 96, 22700000, 38119500, 7.1, 145583, 0, 1
1996, 87, 5000000, 9203190, 7.3, 2804, 0, 1
1989, 87, 140000000, 52792300, 6.7, 5507, 0, 1
1940, 88, 2600000, 84300000, 7.5, 100144, 0, 4
1993, 114, 800000, 1001440, 7.1, 2128, 3, 7
1980, 127, 54000000, 108200000, 6.8, 82043, 3, 6
1992, 120, 18000000, 173586000, 6.6, 224065, 3, 3
1998, 117, 25000000, 777423, 7.2, 6032, 1, 1
1966, 114, 60000000, 13395900, 7.1, 11265, 7, 17
1995, 100, 50000000, 100328000, 6, 93449, 4, 5
1984, 105, 144000000, 118100000, 7.8, 292763, 6, 6
1990, 93, 125000000, 190871000, 6.7, 73074, 3, 3
1996, 105, 25000000, 10070000, 6.2, 6017, 0, 1
1982, 92, 31000000, 84961, 3.3, 38, 0, 1
1995, 88, 800000, 4771000, 7.5, 27847, 4, 14
1997, 75, 32000000, 3562750, 6.9, 5963, 3, 13
1985, 131, 30000000, 50300000, 6.3, 72893, 2, 4
1988, 133, 25000000, 172825000, 8, 405313, 22, 22
1986, 97, 8800000, 174635000, 6.5, 78904, 3, 7
1996, 116, 46000000, 58918500, 6.6, 42782, 9, 7
1990, 108, 35000000, 30669400, 6.2, 115744, 1, 4
1993, 134, 11500000, 22955000, 7.9, 49040, 16, 30
1997, 90, 35000000, 63826600, 6.3, 33782, 7, 16
1980, 98, 6000000, 39800000, 7.3, 87261, 0, 1
1964, 111, 25000000, 80014800, 6.4, 172, 2, 1
1989, 93, 92000000, 241688000, 5.2, 1724, 0, 1
1974, 83, 83532, 30859000, 7.5, 105219, 1, 1
1932, 93, 25000000, 44700000, 7.8, 20855, 0, 2
1973, 121, 7000000, 35400000, 6.8, 79821, 3, 2
1995, 114, 62000000, 65000000, 6.8, 45043, 1, 9
1990, 103, 31000000, 53133900, 6.4, 53082, 2, 5
1933, 100, 207000000, 218051000, 7.9, 68239, 3, 7
1994, 99, 26000000, 13829700, 4.3, 17165, 0, 1
1937, 83, 2000000, 184925000, 7.6, 145251, 11, 5
1984, 124, 12500000, 1227320, 7.2, 820, 19, 5
1974, 116, 10000000, 598645, 7.7, 4166, 4, 3
1994, 191, 63000000, 25052000, 6.7, 37762, 3, 4
1991, 89, 8500000, 34872300, 4.9, 33165, 1, 4
1977, 175, 26000000, 50800000, 7.4, 42801, 4, 4
1988, 110, 4000000, 3468570, 7.3, 10638, 3, 5
1992, 100, 10000000, 50752300, 6.4, 47704, 0, 2
1985, 115, 6900000, 41400000, 7.3, 42554, 2, 1
1973, 168, 14000000, 11204500, 7.2, 1284, 0, 5
1997, 96, 60000000, 26616600, 6.7, 129342, 1, 1
1992, 114, 50000000, 55473600, 6.4, 228963, 5, 20
1993, 121, 7000000, 40158000, 7.6, 67445, 60, 46
1993, 109, 14000000, 27515800, 5.9, 9745, 4, 4
1989, 133, 32000000, 34667000, 6.6, 78353, 0, 1
1987, 163, 23000000, 43984200, 7.8, 75687, 47, 16
1995, 108, 35000000, 60054400, 5.8, 64248, 3, 6
1996, 101, 50000000, 25407200, 5.7, 58000, 0, 2
1992, 85, 12000000, 27281500, 7.7, 36883, 1, 1
1997, 139, 50000000, 147637000, 7.7, 236342, 35, 49
1990, 107, 9500000, 58214, 7.5, 7620, 4, 2
1994, 286, 70000000, 47456400, 8.4, 14769, 20, 2
1988, 101, 32000000, 60328600, 7, 67658, 1, 4
