@RELATION awards

@ATTRIBUTE year DATE "yyyy"
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE budget NUMERIC
@ATTRIBUTE revenue NUMERIC
@ATTRIBUTE averagerating NUMERIC
@ATTRIBUTE numvotes NUMERIC
@ATTRIBUTE class NUMERIC
@ATTRIBUTE nominations NUMERIC

@DATA
1988, 88, 50000000, 48265600, 4.8, 33, 0, 0
1976, 90, 75000000, 51814200, 6.3, 222, 0, 0
1929, 110, 31000000, 93749200, 6.2, 195, 0, 0
1968, 68, 9800000, 56437900, 7.6, 128, 0, 0
1953, 85, 7000000, 5430820, 6.9, 1022, 0, 0
1982, 99, 20000000, 5333660, 3.5, 2700, 0, 3
1995, 132, 50000000, 30306300, 6.3, 66745, 1, 1
1986, 415, 8000000, 336456, 8.7, 3646, 6, 8
1987, 88, 16000000, 14792800, 7.6, 26211, 3, 7
1977, 60, 230000000, 262031000, 6.4, 1395, 0, 0
1991, 132, 30000000, 74787600, 6.7, 13269, 3, 11
1994, 141, 115000000, 146282000, 7.2, 201377, 7, 19
1952, 95, 15000000, 8378140, 7.7, 4350, 1, 1
1985, 85, 8000000, 6739140, 7.2, 2093, 0, 1
1987, 102, 11000000, 167781000, 5.9, 39227, 2, 1
1993, 112, 70000000, 84049200, 6.4, 102005, 1, 7
1935, 54, 110000000, 50026400, 6.1, 18, 0, 0
1993, 100, 11500000, 3275580, 6.6, 11333, 0, 2
1965, 174, 8200000, 163214000, 8, 160224, 12, 13
1991, 94, 35000000, 6592100, 4.7, 445, 0, 0
1991, 102, 16500000, 59847200, 6.8, 59685, 2, 5
1959, 132, 45000000, 101702000, 7.1, 12507, 0, 1
1964, 99, 200000, 3500000, 8, 160268, 1, 2
1988, 30, 500000, 237301, 7.5, 1010, 0, 0
1995, 88, 10000000, 8070310, 5.5, 38, 0, 0
1989, 67, 42000000, 158348000, 7.3, 2603, 0, 0
1966, 114, 60000000, 13395900, 7.1, 11265, 7, 17
1968, 153, 10000000, 16800000, 7.5, 27553, 7, 25
1991, 89, 8500000, 34872300, 4.9, 33165, 1, 4
1978, 100, 15000000, 22189000, 7.8, 95, 0, 0
1992, 81, 13000000, 11501100, 7.6, 138054, 10, 5
1962, 0, 80000000, 102982000, 8.3, 7, 0, 0
1992, 108, 10000000, 32101000, 5.4, 29264, 0, 3
